url,scheme,has_https,url_length,hostname_length,path_length,query_length,count_dots,count_slash,count_at,count_dash,count_underscore,count_equals,count_digits,num_subdomains,has_ip,uses_shortner,has_suspicious_word,num_path_tokens,long_hostname,many_digits,label
http://creative-backgrounds-489117.framer.app/,http,0,46,38,1,0,2,3,0,2,0,0,6,1,0,0,0,0,1,1,1
https://rkluxee.com/index2.php,https,1,30,11,11,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,1
https://rbfcu-star.azurewebsites.net/(S(3ojsml3lsvgclajoybh5dcsq))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,3,1,0,0,1,3,0,0,1
https://event.business-agency-register.com/,https,1,43,34,1,0,2,3,0,2,0,0,0,1,0,0,0,0,1,0,1
https://alkjglkr.xin/,https,1,21,12,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
https://rbfcu-star.azurewebsites.net/(S(wbxrlr0z21odiscj43l32pif))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,7,1,0,0,1,3,0,1,1
https://booking-checkinarrivale3.com/QN5A2QHL,https,1,45,28,9,0,1,3,0,1,0,0,3,0,0,0,0,1,0,0,1
https://rbfcu-star.azurewebsites.net/(S(ez5fqrrli3cs0aputa4gqluc))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,4,1,0,0,1,3,0,0,1
https://rbfcu-star.azurewebsites.net/(S(eij5a1hp5hk5g5poxictduhb))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,5,1,0,0,1,3,0,0,1
https://post.completion109.com/,https,1,31,22,1,0,2,3,0,0,0,0,3,1,0,1,0,0,0,0,1
https://rbfcu-star.azurewebsites.net/(S(gu2cthlzq3bxu0bt450q2rrr))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,7,1,0,0,1,3,0,1,1
https://rbfcu-star.azurewebsites.net/(S(c2yca4go3a0lk1iz3bpd2zdz))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,7,1,0,0,1,3,0,1,1
https://rbfcu-star.azurewebsites.net/(S(cgjqglz5eepwaozkwic0szkw))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,2,1,0,0,1,3,0,0,1
https://rbfcu-star.azurewebsites.net/(S(bt0qld2xzy2elyh0jpb5whdf))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,5,1,0,0,1,3,0,0,1
https://rbfcu-star.azurewebsites.net/(S(swktmgxedqggvi5kqkf5jugp))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,2,1,0,0,1,3,0,0,1
https://www.ledgerapp.vip/,https,1,26,17,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1
https://rbfcu-star.azurewebsites.net/(S(1m4adlboiol5dgfqf3u0wngw))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,5,1,0,0,1,3,0,0,1
https://meta-falrox-gyrnox-mevral.pages.dev/,https,1,44,35,1,0,2,3,0,3,0,0,0,1,0,0,0,0,1,0,1
