feature,importance
path_length,0.3589145345225415
url_length,0.17900272876328494
ends_with_slash,0.13125618736226446
num_subdomains,0.08383621700960532
hostname_length,0.07907838587210697
path_depth,0.05048937274737111
count_dots,0.04535462404814554
count_digits,0.035779726902731915
has_https,0.01680416109505351
tld_length,0.004583757562922217
count_dash,0.004553375381619865
suspicious_keywords,0.0035016623412751943
has_www,0.0032500478148293974
count_question,0.0023579311081107232
num_parameters,0.0009990496403149377
count_equals,0.0002062441953811854
count_at,3.1914077483697484e-05
count_ampersand,7.955495763376542e-08
count_underscore,0.0
contains_ip_port,0.0
count_percent,0.0
has_ip,0.0
